2
 OIII :  Collision strengths - Baluja & Doyle
 Energies and transition probs checked and corrected MJB+PJS 18/1/83
6 7 0
2p2  3Pe0
2p2  3Pe1
2p2  3Pe2
2p2  1D2
2p2  1S0
2p3  5S2
5000
7500
10000
12500
15000
17500
20000
0
 1 2 0.517
 0 0 0.531
 0 0 0.542
 0 0 0.549
 0 0 0.553
 0 0 0.555
 0 0 0.556
 1 3 0.257
 0 0 0.265
 0 0 0.271
 0 0 0.277
 0 0 0.281
 0 0 0.284
 0 0 0.288
 1 4 0.2240   5000.
 0 0 0.2320   7500.
 0 0 0.2412  10000.
 0 0 0.2493  12500.
 0 0 0.2560  15000.
 0 0 0.2614  17500.
 0 0 0.2659  20000.
 1 5 0.0276   5000.
 0 0 0.0291   7500.
 0 0 0.0307  10000.
 0 0 0.0321  12500.
 0 0 0.0332  15000.
 0 0 0.0341  17500.
 0 0 0.0349  20000.
 1 6 0.1169   5000.
 0 0 0.1256   7500.
 0 0 0.1309  10000.
 0 0 0.1334  12500.
 0 0 0.1360  15000.
 0 0 0.1370  17500.
 0 0 0.1380  20000.
 2 3 1.224
 0 0 1.259
 0 0 1.288
 0 0 1.309
 0 0 1.324
 0 0 1.335
 0 0 1.342
 2 4 0.6720   5000.
 0 0 0.6960   7500.
 0 0 0.7237  10000.
 0 0 0.7480  12500.
 0 0 0.7680  15000.
 0 0 0.7843  17500.
 0 0 0.7977  20000.
 2 5 0.0827   5000.
 0 0 0.0873   7500.
 0 0 0.0921  10000.
 0 0 0.0963  12500.
 0 0 0.0997  15000.
 0 0 0.1024  17500.
 0 0 0.1046  20000.
 2 6 0.3507   5000.
 0 0 0.3767   7500.
 0 0 0.3927  10000.
 0 0 0.4003  12500.
 0 0 0.4080  15000.
 0 0 0.4110  17500.
 0 0 0.4140  20000.
 3 4 1.1200   5000.
 0 0 1.1600   7500.
 0 0 1.2061  10000.
 0 0 1.2467  12500.
 0 0 1.2800  15000.
 0 0 1.3072  17500.
 0 0 1.3294  20000.
 3 5 0.1379   5000.
 0 0 0.1456   7500.
 0 0 0.1536  10000.
 0 0 0.1605  12500.
 0 0 0.1662  15000.
 0 0 0.1707  17500.
 0 0 0.1744  20000.
 3 6 0.5844   5000.
 0 0 0.6278   7500.
 0 0 0.6544  10000.
 0 0 0.6672  12500.
 0 0 0.6800  15000.
 0 0 0.6850  17500.
 0 0 0.6900  20000.
 4 5 0.5162  5000.
 0 0 0.5818  7500.
 0 0 0.6168 10000.
 0 0 0.6324 12500.
 0 0 0.6375 15000.
 0 0 0.6372 17500.
 0 0 0.6342 20000.
 0 0 0
 1 2 2.62-5
 1 3 3.02-11
 1 4 2.74-6
 1 5 0.0
 1 6 0.0
 2 3 9.76-5
 2 4 6.74-3
 2 5 2.23-1
 2 6 2.12+2
 3 4 1.96-2
 3 5 7.85-4
 3 6 5.22+2
 4 5 1.78
 4 6 0.0
 5 6 0.0
 1 1 0.0
 2 3 113.2
 3 5 306.2
 4 5 20273.3
 5 1 43185.7
 6 5 60325
