

           feiii               
           T =   10000., LOG T =  4.000
           D = 1.00E+03, LOG D =  3.000
 POPULATIONS:
    1     3d6 5de4            9.3074E-01
    2     3d6 5de3            1.4104E-02
    3     3d6 5de2            8.6531E-03
    4     3d6 5de1            7.3612E-03
    5     3d6 5de0            1.4819E-02
    6     3d6 3p2             7.4315E-07
    7     3d6 3p1             1.2916E-07
    8     3d6 3p0             1.8076E-08
    9     3d6 3h6             2.2561E-02
   10     3d6 3h5             1.7177E-03
   11     3d6 3h4             3.3658E-05
   12     3d6 3f4             1.4959E-06
   13     3d6 3f3             8.3175E-07
   14     3d6 3f2             9.0556E-07
   15     3d6 3g5             6.2750E-06
   16     3d6 3g4             3.6271E-06
   17     3d6 3g3             9.6051E-07
   18     3d6 1i6             6.4899E-07
   19     3d6 3de3            2.8912E-07
   20     3d6 3de2            1.7549E-07
   21     3d6 3de1            6.3939E-08
   22     3d6 1g4             3.6915E-08
   23     3d6 1s0             5.2782E-11
   24     3d6 1de2            6.5593E-09
   25     3d6 1f3             1.3799E-08
 TRANSITION    LAMDA(A)     INTENSITY     I(line)*N(H+)/ I(Hbeta)*N(ion)
    1  2        215889.46    1.875E-02    3.002E+04
    1  3        135336.31    1.797E-08    2.877E-02
    1  6          5153.36    8.551E-08    1.369E-01
    1  9          4987.26    1.932E-03    3.093E+03
    1 10          4925.91    3.661E-04    5.862E+02
    1 11          4882.36    6.632E-03    1.062E+04
    1 12          4659.35    1.380E-02    2.210E+04
    1 13          4608.32    7.653E-04    1.225E+03
    1 14          4575.15    4.790E-08    7.669E-02
    1 15          4071.86    5.949E-05    9.524E+01
    1 16          4009.48    2.642E-04    4.229E+02
    1 17          3980.19    4.247E-06    6.800E+00
    1 18          3294.22    6.679E-09    1.069E-02
    1 19          3240.67    1.758E-03    2.814E+03
    1 20          3255.61    1.418E-06    2.270E+00
    1 22          3237.67    6.989E-07    1.119E+00
    1 24          2793.01    1.127E-09    1.805E-03
    1 25          2331.17    1.433E-07    2.294E-01
    2  3        362713.09    4.270E-03    6.837E+03
    2  4        213128.73    3.627E-09    5.807E-03
    2  6          5279.39    7.151E-03    1.145E+04
    2  7          4944.33    1.860E-07    2.978E-01
    2 10          5040.93    8.519E-05    1.364E+02
    2 11          4995.33    1.294E-03    2.071E+03
    2 12          4762.13    2.585E-03    4.139E+03
    2 13          4708.83    4.098E-03    6.561E+03
    2 14          4674.21    4.960E-04    7.941E+02
    2 15          4150.14    3.871E-06    6.197E+00
    2 16          4085.35    8.967E-05    1.436E+02
    2 17          4054.95    2.985E-05    4.779E+01
    2 19          3290.06    4.921E-04    7.879E+02
    2 20          3305.46    1.375E-04    2.202E+02
    2 21          3304.41    1.254E-07    2.008E-01
    2 22          3286.97    1.370E-07    2.194E-01
    2 24          2829.61    3.083E-08    4.936E-02
    2 25          2356.62    4.198E-07    6.722E-01
    3  4        516795.87    9.714E-04    1.555E+03
    3  6          5357.36    8.309E-07    1.330E+00
    3  7          5012.66    1.628E-03    2.607E+03
    3  8          4885.29    1.554E-07    2.488E-01
